id	shortName	source	defcount	canDistribute
1	DEX '98	Dicționarul explicativ al limbii române, ediția a II-a, 1998	60698	1
2	DEX '96	Dicționarul explicativ al limbii române, ediția a II-a, 1996	4836	1
3	DEX '84	Dicționarul explicativ al limbii române, 1984	30	1
4	DEX '75	Dicționarul explicativ al limbii române, 1975	21	0
5	DEX-S	Supliment la Dicționarul explicativ al limbii române, 1988	98	0
6	Sinonime	Dicționar de sinonime, 2002	48769	0
7	Antonime	Dicționar de antonime, 2002	4699	0
8	Ortografic	Dicționar ortografic al limbii române, 2002	74752	0
9	NODEX	Noul dicționar explicativ al limbii române, 2002	38731	0
10	DAR	Dicționar de arhaisme și regionalisme, 2002	17959	0
11	DGE	Dicționar gastronomic explicativ, 2003	276	0
12	DER	Dicționarul etimologic român, 1958-1966	10148	0
13	DLR	Dicționar al limbii române (Dicționarul Academiei), 1913-2010	6397	0
14	DLRC	Dicționar al limbii române contemporane, 1980	133	0
15	DLRM	Dicționarul limbii române moderne, 1958	11604	0
16	DMLR	Dictionnaire morphologique de la langue roumaine, 1981	352	0
17	DN	Dicționar de neologisme, 1986	48503	1
18	DOOM	Dicționar ortografic, ortoepic și morfologic al limbii române, 1982	277	1
19	DOOM 2	Dicționar ortografic, ortoepic și morfologic al limbii române, ediția a II-a revăzută și adăugită, 2005	61900	0
20	MDA	Micul dicționar academic, 2002-2003	48	0
21	MDN '00	Marele dicționar de neologisme, 2000	54027	0
22	Neoficial	Definiții ale unor cuvinte care nu există în alte dicționare, 	553	1
23	DLRLV	Dicționarul limbii române literare vechi (1640-1780) - Termeni regionali, 1987	2576	0
24	DLRLC	Dicționarul limbii romîne literare contemporane, 1955-1957	49407	0
25	DE	Dicționar enciclopedic, 1993-2009	29383	0
26	Argou	Dicționar de argou al limbii române, 2007	8338	0
27	DEX '09	Dicționarul explicativ al limbii române (ediția a II-a revăzută și adăugită), 2009	66966	1
28	Petro-Sedim	Dicționar de termeni – Sedimentologie - Petrologie sedimentară - Sisteme depoziționale, 	933	0
29	DSL	Dicționar General de Științe. Științe ale limbii, 2005	39	0
30	DCR2	Dicționar de cuvinte recente, ediția a II-a, 1997	5807	0
31	GTA	Glosar de termeni aviatici, 	947	0
32	DTM	Dicționar de termeni muzicali, 2010	2834	0
33	D.Religios	Dicționar religios, 1994	2082	0
34	dexonline	Dicționar intern dexonline, 	328	0
